Region,TEMP_C,Year
Southeast Asia,24.654483736718515,1958
Sub-Saharan Africa,21.99058962991832,1958
Central Asia & Mongolia,6.44075381701316,1962
East Asia & China,11.173985795715348,1962
Europe & Russia,1.8228676849246988,1962
Latin America & Caribbean,22.197920103052294,1962
MENA,23.4284869648763,1962
North America,11.27847641391853,1962
Oceania,19.268802893802892,1962
Other,0.14250171568482028,1962
South Asia,22.817862902878037,1962
Southeast Asia,25.094795111579952,1962
Sub-Saharan Africa,22.226755498507583,1962
Central Asia & Mongolia,4.637706701689667,1964
East Asia & China,11.936796680427324,1964
Europe & Russia,3.7087131519927126,1964
Latin America & Caribbean,21.703246669828847,1964
MENA,22.423070624163078,1964
North America,11.203844517862034,1964
Oceania,19.404510495837858,1964
Other,-1.1884567144114366,1964
South Asia,7.0775220484574275,1964
Southeast Asia,25.15569719460261,1964
Sub-Saharan Africa,21.48178907406375,1964
Central Asia & Mongolia,4.849826532298034,1966
East Asia & China,11.131503137081939,1966
Europe & Russia,4.894488994440617,1966
Latin America & Caribbean,21.86511583613958,1966
MENA,22.428105878381228,1966
North America,11.14892661013701,1966
Oceania,19.39134958516481,1966
Other,-1.547419973257294,1966
South Asia,25.084680762852404,1966
Southeast Asia,26.93576067981105,1966
Sub-Saharan Africa,21.71774178270342,1966
Central Asia & Mongolia,4.4873318535063165,1968
East Asia & China,11.04617888003591,1968
Europe & Russia,4.465255641004959,1968
Latin America & Caribbean,19.560391572837567,1968
MENA,20.266315261044177,1968
North America,11.855279990931468,1968
Oceania,19.705659636774186,1968
Other,-0.8118788891984768,1968
South Asia,24.260942760942765,1968
Southeast Asia,26.705771455724967,1968
Sub-Saharan Africa,21.60771574708891,1968
East Asia & China,14.341104759888502,1972
Europe & Russia,10.917788749251944,1972
Latin America & Caribbean,27.68169398907104,1972
MENA,17.23877745940783,1972
North America,11.524402568578015,1972
Oceania,20.370544265929784,1972
Other,8.042189572492601,1972
Southeast Asia,26.98985178891721,1972
Central Asia & Mongolia,2.8988798339185937,1974
East Asia & China,10.294715957234374,1974
Europe & Russia,5.446478636662275,1974
Latin America & Caribbean,21.126853646511456,1974
MENA,20.961627889533926,1974
North America,10.316851781329596,1974
Oceania,20.887328764868904,1974
Other,1.4820960632830733,1974
South Asia,21.842435844639592,1974
Southeast Asia,25.0520301758141,1974
Sub-Saharan Africa,22.414170955484124,1974
Central Asia & Mongolia,4.025912278497923,1976
East Asia & China,10.497214591415748,1976
Europe & Russia,5.019827238307041,1976
Latin America & Caribbean,21.38776388118173,1976
MENA,21.481145217512438,1976
North America,10.292533676339954,1976
Oceania,20.715583742415465,1976
Other,2.184918566281219,1976
South Asia,21.425611857639918,1976
Southeast Asia,24.67178375155391,1976
Sub-Saharan Africa,23.346832536402193,1976
Central Asia & Mongolia,4.834349679714664,1978
East Asia & China,11.301272728540962,1978
Europe & Russia,5.563554378703774,1978
Latin America & Caribbean,21.31685063571419,1978
MENA,22.242187879298932,1978
North America,10.157011559107026,1978
Oceania,21.217200078032672,1978
Other,1.9070157079004075,1978
South Asia,21.841937685077895,1978
Southeast Asia,25.03618146797444,1978
Sub-Saharan Africa,23.10696463919629,1978
Central Asia & Mongolia,4.4497731748180325,1982
East Asia & China,11.421227581732303,1982
Europe & Russia,6.895184144405517,1982
Latin America & Caribbean,22.189133033624625,1982
MENA,22.552702151462647,1982
North America,9.886032026982704,1982
Oceania,21.42775087865111,1982
Other,1.5150520810697263,1982
South Asia,22.34438031064285,1982
Southeast Asia,24.949914512378605,1982
Sub-Saharan Africa,22.946644586667922,1982
Central Asia & Mongolia,2.6003786772950175,1984
East Asia & China,10.166232263804975,1984
Europe & Russia,6.148180081160113,1984
Latin America & Caribbean,20.771978725530612,1984
MENA,22.40792797942269,1984
North America,10.356587413157552,1984
Oceania,22.117583586096295,1984
Other,0.9138491577328981,1984
South Asia,22.02377240530212,1984
Southeast Asia,24.702380636267282,1984
Sub-Saharan Africa,22.52726520566896,1984
Central Asia & Mongolia,4.033579035470888,1986
East Asia & China,10.604886379817167,1986
Europe & Russia,5.980839175594278,1986
Latin America & Caribbean,20.643780367099723,1986
