Region,TEMP_C,Year
Southeast Asia,26.602691027005893,2010
Sub-Saharan Africa,21.971055850404348,2010
Central Asia & Mongolia,7.074722818386543,2015
East Asia & China,12.186208386500045,2015
Europe & Russia,8.15671543590417,2015
Latin America & Caribbean,22.65300116959064,2015
MENA,23.38841919194926,2015
North America,11.227341615234092,2015
Oceania,19.298800824757326,2015
Other,3.4390431657369094,2015
South Asia,24.22243829352834,2015
Southeast Asia,26.671247258331995,2015
Sub-Saharan Africa,21.755265129610944,2015
Central Asia & Mongolia,7.247069846652144,2020
East Asia & China,12.43526894565305,2020
Europe & Russia,8.868053890516283,2020
Latin America & Caribbean,22.533757184541756,2020
MENA,23.159875583638744,2020
North America,11.097554872094932,2020
Oceania,19.21061633683335,2020
Other,2.6670000439467474,2020
South Asia,24.54294093505762,2020
Southeast Asia,26.796617490111554,2020
Sub-Saharan Africa,21.808524851381993,2020
