Region,TEMP_C,Year
Central Asia & Mongolia,-3.112942612942613,1947
East Asia & China,15.378763589460107,1947
Europe & Russia,9.827546296296296,1947
Latin America & Caribbean,24.317823329004085,1947
MENA,21.11806291975963,1947
North America,11.31424462779574,1947
Oceania,20.895400793319027,1947
Other,6.854659611356643,1947
Southeast Asia,24.973498774509807,1947
Sub-Saharan Africa,23.710852713178294,1947
Central Asia & Mongolia,3.571045905435763,1949
East Asia & China,8.339346389883456,1949
Europe & Russia,2.6609741095797066,1949
Latin America & Caribbean,25.335051958433255,1949
MENA,19.497485462831996,1949
North America,12.256463338186524,1949
Oceania,20.820103111442062,1949
Other,2.604684841243981,1949
South Asia,23.364349011588274,1949
Southeast Asia,25.610341666257387,1949
Central Asia & Mongolia,2.746601278485336,1951
East Asia & China,10.192650177364333,1951
Europe & Russia,4.554938065362388,1951
Latin America & Caribbean,24.609600422992674,1951
MENA,18.7571483551567,1951
North America,11.875050855052383,1951
Oceania,21.542411642411643,1951
Other,2.4200005012342896,1951
South Asia,20.851293759512938,1951
Southeast Asia,24.537169981562123,1951
Central Asia & Mongolia,3.4194093906321057,1953
East Asia & China,11.759128875738925,1953
Europe & Russia,6.4203940005043725,1953
Latin America & Caribbean,20.841308804995954,1953
MENA,19.26949948229239,1953
North America,12.99036232358786,1953
Oceania,21.182825890989392,1953
Other,1.713280536699615,1953
South Asia,26.454946727549466,1953
Southeast Asia,25.892552931233876,1953
Sub-Saharan Africa,7.32148779909974,1953
Central Asia & Mongolia,3.2840090132618314,1957
East Asia & China,10.38520942355156,1957
Europe & Russia,4.666730166207161,1957
Latin America & Caribbean,17.72879740804269,1957
MENA,22.63251419876966,1957
North America,11.519135640285254,1957
Oceania,20.250075599815812,1957
Other,-0.19379416021111773,1957
South Asia,22.61935438140031,1957
Southeast Asia,24.711040256610957,1957
Sub-Saharan Africa,21.92771040783463,1957
Central Asia & Mongolia,4.109735596570222,1959
East Asia & China,11.353335669193083,1959
Europe & Russia,2.1525564428374597,1959
Latin America & Caribbean,23.22538632799219,1959
MENA,21.379077518070936,1959
North America,10.938347640586855,1959
Oceania,19.198822810335784,1959
Other,0.2740515980456229,1959
South Asia,18.15943100358423,1959
Southeast Asia,25.12608476358408,1959
Sub-Saharan Africa,22.48035513151792,1959
Central Asia & Mongolia,6.48210879437118,1961
East Asia & China,11.527094270924927,1961
Europe & Russia,2.6731113729508746,1961
Latin America & Caribbean,22.01242569558919,1961
MENA,23.262604841784217,1961
North America,11.291947679041957,1961
Oceania,19.142013140843094,1961
Other,0.6951468072157728,1961
South Asia,23.79892459406614,1961
Southeast Asia,25.30164400457253,1961
Sub-Saharan Africa,22.847795196186286,1961
Central Asia & Mongolia,6.346059616935863,1963
East Asia & China,11.283787987845267,1963
Europe & Russia,1.590372884977757,1963
Latin America & Caribbean,22.137857440952576,1963
MENA,23.36703361049303,1963
North America,11.409532828555822,1963
Oceania,19.781270064021427,1963
Other,-0.6595721674566131,1963
South Asia,5.419087665647298,1963
Southeast Asia,25.107961455702124,1963
Sub-Saharan Africa,21.35696382739814,1963
Central Asia & Mongolia,5.134670807226828,1967
East Asia & China,11.66533589323696,1967
Europe & Russia,6.217925727869633,1967
Latin America & Caribbean,20.911486736085966,1967
MENA,20.699684995611232,1967
North America,11.977256977565153,1967
Oceania,19.76836729300457,1967
Other,-1.511775623180058,1967
South Asia,24.532613246253035,1967
Southeast Asia,26.32933624977215,1967
Sub-Saharan Africa,21.36968864861773,1967
Central Asia & Mongolia,0.8358250424546335,1969
East Asia & China,4.475391837368094,1969
Europe & Russia,-0.19159125314765427,1969
Latin America & Caribbean,24.117012922772524,1969
MENA,15.776761765423066,1969
North America,12.024081719683027,1969
Oceania,19.85725285074323,1969
Other,-2.13627795453185,1969
South Asia,27.515914164326347,1969
Southeast Asia,26.918811095757203,1969
Sub-Saharan Africa,26.08981185658502,1969
Central Asia & Mongolia,-0.6720446905184023,1971
East Asia & China,3.296489623532386,1971
Europe & Russia,-3.1493696573275445,1971
Latin America & Caribbean,24.109706257982122,1971
MENA,14.858643865917987,1971
North America,11.734880559372156,1971
Oceania,19.827111774278695,1971
Other,-3.4766350143290987,1971
South Asia,27.002750275027502,1971
Southeast Asia,25.457495957495954,1971
Central Asia & Mongolia,4.787563801255841,1973
East Asia & China,11.048223462787345,1973
Europe & Russia,5.446244724158615,1973
Latin America & Caribbean,21.045697434673812,1973
MENA,21.850536226209606,1973
North America,10.71187504475041,1973
Oceania,21.656461002637855,1973
Other,2.854945729044615,1973
South Asia,22.177523351456852,1973
Southeast Asia,25.541918217649652,1973
Sub-Saharan Africa,24.112692640364667,1973
Central Asia & Mongolia,5.026138707937205,1977
East Asia & China,10.90768135341335,1977
Europe & Russia,5.877093814193161,1977
Latin America & Caribbean,21.454618717073412,1977
MENA,22.103026656547996,1977
North America,10.844624383110125,1977
Oceania,20.993200264132334,1977
Other,2.1239586946969173,1977
South Asia,21.718636010702774,1977
Southeast Asia,25.055256990012033,1977
Sub-Saharan Africa,23.481014972249195,1977
Central Asia & Mongolia,4.821036617557379,1979
East Asia & China,11.275188538023466,1979
Europe & Russia,5.626034713919758,1979
Latin America & Caribbean,21.19955528336796,1979
MENA,23.008921087745016,1979
North America,10.312955364292575,1979
Oceania,21.52021289147828,1979
Other,2.1770328502482963,1979
South Asia,22.287840430177166,1979
Southeast Asia,25.24504480421477,1979
Sub-Saharan Africa,23.142173204991433,1979
Central Asia & Mongolia,5.199903657785589,1981
East Asia & China,10.553510788206783,1981
Europe & Russia,6.100292107639986,1981
Latin America & Caribbean,21.041727467041834,1981
MENA,23.089973753686262,1981
North America,11.224864692644513,1981
Oceania,21.729657160816036,1981
Other,1.9761592349061838,1981
South Asia,22.422980627797077,1981
Southeast Asia,25.115867439505067,1981
Sub-Saharan Africa,22.777991740060706,1981
Central Asia & Mongolia,4.717598627360556,1983
East Asia & China,10.888688029809773,1983
Europe & Russia,6.799429941549048,1983
Latin America & Caribbean,21.32488940804915,1983
MENA,22.82381266917926,1983
North America,10.339083685674595,1983
Oceania,22.14611808980614,1983
Other,0.7975629985607299,1983
South Asia,22.01631964206665,1983
Southeast Asia,25.157988943266268,1983
Sub-Saharan Africa,23.3356518694192,1983
Central Asia & Mongolia,4.070655395422495,1987
East Asia & China,10.982290296814273,1987
Europe & Russia,5.4352186326008605,1987
Latin America & Caribbean,21.179063739627363,1987
MENA,23.12230691360236,1987
North America,11.118625397023479,1987
Oceania,22.30230938732915,1987
Other,1.551036877394636,1987
South Asia,22.093509702998464,1987
Southeast Asia,25.406038659057717,1987
Sub-Saharan Africa,23.229402861259477,1987
Central Asia & Mongolia,5.0473248162131785,1989
East Asia & China,11.340285516329333,1989
Europe & Russia,7.317271107149699,1989
Latin America & Caribbean,20.835258551720212,1989
MENA,23.00978626096696,1989
North America,10.318856414086689,1989
Oceania,21.952739911528393,1989
Other,3.292610701168503,1989
South Asia,21.962669343007445,1989
Southeast Asia,24.95179057928863,1989
Sub-Saharan Africa,22.28974964048219,1989
Central Asia & Mongolia,4.776366050804152,1991
East Asia & China,11.124056589066246,1991
Europe & Russia,7.015543799809515,1991
Latin America & Caribbean,21.570367822023453,1991
MENA,22.633971521110023,1991
North America,10.918689548542682,1991
Oceania,20.34331741331233,1991
Other,2.2781752273683527,1991
South Asia,22.352895940182314,1991
Southeast Asia,25.207522623076738,1991
Sub-Saharan Africa,22.430267559529153,1991
Central Asia & Mongolia,3.5367851521817304,1993
East Asia & China,11.289630360424706,1993
Europe & Russia,7.059855995263354,1993
Latin America & Caribbean,21.497112658839125,1993
MENA,22.22388804092696,1993
North America,9.953367185380053,1993
Oceania,20.191943305040606,1993
Other,0.667451122813389,1993
South Asia,22.67239079431589,1993
Southeast Asia,25.235832729275185,1993
Sub-Saharan Africa,22.88707463345567,1993
Central Asia & Mongolia,5.57556644720249,1997
East Asia & China,12.152981151839148,1997
Europe & Russia,8.186351131517387,1997
Latin America & Caribbean,22.016539100060545,1997
MENA,22.121518962025423,1997
North America,10.44508235519233,1997
Oceania,19.81710046091999,1997
Other,0.9789144620253483,1997
South Asia,21.975188335696217,1997
Southeast Asia,25.611625307927813,1997
Sub-Saharan Africa,22.46137820979211,1997
Central Asia & Mongolia,6.349595419352839,1999
East Asia & China,12.378187783211095,1999
Europe & Russia,8.702059567014947,1999
Latin America & Caribbean,21.48011008405875,1999
MENA,23.15391362250989,1999
North America,10.843690861191915,1999
Oceania,19.487217589586248,1999
Other,1.578133178125503,1999
South Asia,23.3305463684963,1999
Southeast Asia,25.84328015896419,1999
Sub-Saharan Africa,21.677946493130875,1999
Central Asia & Mongolia,6.566348893271971,2001
East Asia & China,11.700451235463209,2001
Europe & Russia,8.628841036995876,2001
Latin America & Caribbean,21.88082471218409,2001
MENA,23.154465610580107,2001
North America,10.68218145236908,2001
Oceania,19.198842422139275,2001
Other,0.8979305736062494,2001
South Asia,23.510866208227775,2001
Southeast Asia,26.052464116189793,2001
Sub-Saharan Africa,21.482735910619077,2001
Central Asia & Mongolia,6.156686360684103,2003
East Asia & China,11.752321257923574,2003
Europe & Russia,8.990143370268507,2003
Latin America & Caribbean,21.640996558663474,2003
MENA,23.021776869768598,2003
North America,10.242723600311878,2003
Oceania,19.085632097766187,2003
Other,1.1905415411392437,2003
South Asia,23.96383777703094,2003
Southeast Asia,26.23982190268086,2003
Sub-Saharan Africa,22.206968310700137,2003
Central Asia & Mongolia,7.574312386493439,2007
East Asia & China,12.403826068065408,2007
Europe & Russia,9.190392920531394,2007
Latin America & Caribbean,21.59640387009549,2007
MENA,22.767625681713433,2007
North America,10.286649432510126,2007
Oceania,19.38488802844616,2007
Other,0.7468195152295517,2007
South Asia,23.157953114078857,2007
Southeast Asia,26.248801101542764,2007
Sub-Saharan Africa,21.29332091683076,2007
Central Asia & Mongolia,6.716222860417561,2009
East Asia & China,11.814599621733722,2009
Europe & Russia,8.401238126692045,2009
Latin America & Caribbean,22.695284306852145,2009
MENA,23.332878503274383,2009
North America,10.165123857758582,2009
Oceania,19.374707567294028,2009
Other,0.4661663581119337,2009
South Asia,23.182525013554145,2009
Southeast Asia,26.336089892880523,2009
Sub-Saharan Africa,21.713733902839227,2009
Central Asia & Mongolia,6.614766019062166,2011
East Asia & China,11.417560807878663,2011
Europe & Russia,8.69918359757502,2011
Latin America & Caribbean,22.063147713968316,2011
MENA,22.99132710214941,2011
North America,10.867773874108453,2011
Oceania,18.783645857538065,2011
Other,0.4254873020335489,2011
South Asia,23.112247312460273,2011
Southeast Asia,25.892314749138954,2011
Sub-Saharan Africa,21.530812525666516,2011
Central Asia & Mongolia,6.980133990121279,2013
East Asia & China,11.819040120762796,2013
Europe & Russia,7.5680820744954405,2013
Latin America & Caribbean,22.10443641042249,2013
MENA,23.345927398513478,2013
North America,10.346215285685226,2013
Oceania,19.40435126686761,2013
Other,2.77218044393025,2013
South Asia,23.358962350780534,2013
Southeast Asia,26.328443478852925,2013
Sub-Saharan Africa,21.58595964385438,2013
Central Asia & Mongolia,6.777409860191317,2017
East Asia & China,12.069460525234334,2017
Europe & Russia,7.916592859812234,2017
Latin America & Caribbean,22.940620960591854,2017
MENA,23.480263855469495,2017
North America,11.221533147772453,2017
Oceania,19.54942890507756,2017
Other,3.4625397546232604,2017
South Asia,24.78961399211958,2017
Southeast Asia,26.456926303546076,2017
Sub-Saharan Africa,21.592716090420417,2017
Central Asia & Mongolia,7.129658038295388,2019
East Asia & China,12.463621871576773,2019
Europe & Russia,8.327843564247006,2019
Latin America & Caribbean,22.906383428111575,2019
MENA,23.17311336606395,2019
North America,10.665442982186189,2019
Oceania,19.55280636774814,2019
Other,2.040676064672416,2019
South Asia,24.677800018196706,2019
Southeast Asia,26.866261468502803,2019
Sub-Saharan Africa,22.213385485093838,2019
Central Asia & Mongolia,7.37007440698427,2021
East Asia & China,12.708363013557479,2021
Europe & Russia,7.839877470106443,2021
Latin America & Caribbean,21.963076116511843,2021
MENA,23.896481610568603,2021
North America,11.27807052914695,2021
Oceania,18.967480189666745,2021
Other,2.553982194752656,2021
South Asia,24.629125740433647,2021
Southeast Asia,26.532185439993874,2021
Sub-Saharan Africa,21.614148248383703,2021
Central Asia & Mongolia,8.329708870630432,2023
East Asia & China,12.5942039205282,2023
Europe & Russia,8.674266363156322,2023
Latin America & Caribbean,22.816083419509706,2023
MENA,23.67705427869679,2023
North America,11.635074890142342,2023
Oceania,19.28517147011408,2023
Other,4.025019421366413,2023
South Asia,25.2920260097807,2023
Southeast Asia,26.876760339871414,2023
Sub-Saharan Africa,22.076333821509603,2023
